"idLU"	"name"	"senseDescription"
12502	cause.v	COD: be the cause of; make happen. 
12503	cause.n	COD: a person or thing that gives rise to an action, phenomenon, or condition. 
12504	make.v	COD: cause to exist or come about; bring about or perform
12505	lead (to).v	"FN: ""One thing leads to another""; a rather vaguely defined sort of causation, although often used in quite definite cases: ""Smoking leads to higher rates of lung cancer""."
12506	reason.n	COD: a cause, explanation, or justification.
12507	send.v	COD: cause to be in a specified state:
12508	bring about.v	COD: cause something to happen.
12509	precipitate.v	COD: cause (an undesirable event) to happen unexpectedly or prematurely.
12510	causative.a	COD: acting as a cause
12511	render.v	COD: cause to be or become.
12512	bring.v	COD: cause to be in a particular state or condition.
12513	bring on.v	FN: lead to
12514	induce.v	COD: bring about or give rise to.
12515	wreak.v	FN: cause (usually damage or harm)
12516	put.v	COD: bring into a particular state or condition.
12517	since.c	COD: for the reason that; because.
12518	because.c	COD: for the reason that; since
12519	because of.prep	COD: by reason of.
12520	raise.v	COD: cause to be heard, felt, or considered
12521	result (in).v	COD: have (a specified end or outcome).
12522	mean.v	COD: have as a consequence or result.
12523	result.n	FN: the outcome of an occurance
12524	leave.v	FN: render
12525	for.c	FN: because, for the reason that
12526	see.v	FN: for the existence of one thing or event to lead, even subtly, to the occurance of another thing or event.
12527	force.v	FN: cause to do something by hostile means
12528	give rise.v	FN: make happen or produce
12529	so.c	FN: in order to, causing
12530	due to.prep	FN: because of
12531	responsible.a	"FN: accountable for something that has happened
"
12532	consequence.n	FN: a situation or entity that results from some event
12533	resulting.a	FN: occuring or produced as a result of some other event
12534	consequent.a	FN: resulting, caused by an earlier event
12535	consequential.a	FN: resulting, espescially resutling indirectly from an earlier event
12536	resultant.a	FN: resulting, of a situation or event caused by an earlier event
12537	dictate.v	"controlled by
"
12538	motivate.v	FN: provide with a motive
12539	sway.v	COD: cause to change in opinion, action, etc.; influence. 
12540	legacy.n	FN: in this frame, simply a metaphorical term for a result.
12541	communicate.v	FN: convey  a message to someone verbally or non-verbally, e.g. He communicated his feelings mainly through his paintings.
12542	speech.n	FN: the faculty of speech
12543	indicate.v	COD: point out; show.
12544	signal.v	COD: instruct or indicate by means of a signal.
12545	communication [act].n	COD: the action of communicating.
12546	communication [entity].n	COD: a letter or message containing information or news.
12547	contact.n	COD: a communication or relationship.
12548	codeword.n	FN: A word or phrase to protect secrecy.  
12549	password.n	COD:  secret word or phrase used to gain admission to something.
12550	convey.v	COD: communicate (an idea, impression, or feeling).
12551	say.v	FN: communicate a message nonverbally
12552	share.v	FN: to communicate a piece of information 
12553	move.v	FN: go in a specified direction or manner
12554	go.v	COD: move from one place to another; travel. 
12555	drift.v	COD: be carried slowly by a current of air or water. 
12556	glide.v	COD: move with a smooth, quiet, continuous motion. 
12557	blow.v	COD: be carried or driven by the wind. 
12558	float.v	COD: move slowly or hover in a liquid or the air
12559	coast.v	COD: move easily without using power. 
12560	roll.v	COD: move by turning over and over on an axis. 
12561	soar.v	COD: glide high in the air. 
12562	fly.v	COD: move or be hurled quickly through the air. 
